"2013-01-29 05:23:42,476",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:18:03,554",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:18:03,554",LMPI Parallel Query Test Suite,xQuery Test by :cs_q403,1,WARMUP,Execute Query,Aggregated,126864,1000,0,7.882456804,0,126.864,126.8514517,0,114.828609,1197.357258
"2013-01-30 03:18:03,554",LMPI Parallel Query Test Suite,xQuery Test by :cs_q403,1,WARMUP,Execute Query,ST-0.0-[Execute Query],126864,1000,0,7.882456804,0,126.864,126.8514517,62.64460193,114.828609,1197.357258
"2013-01-30 03:20:05,067",LMPI Parallel Query Test Suite,xQuery Test by :cs_q403,1,RUN,Execute Query,Aggregated,120024,1000,0,8.331667,0,120.024,120.0117239,0,114.421779,1627.26845
"2013-01-30 03:20:05,067",LMPI Parallel Query Test Suite,xQuery Test by :cs_q403,1,RUN,Execute Query,ST-0.0-[Execute Query],120024,1000,0,8.331667,0,120.024,120.0117239,49.39030593,114.421779,1627.26845
,,,,,,,,,,,,,,,,
"2013-01-29 06:47:15,723",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 06:47:15,723",LMPI Parallel Query Test Suite,xQuery Test by :cs_q604_para,1,WARMUP,Execute Query,Aggregated,122098,1000,0,8.190142345,0,122.098,122.0816796,0,76.145034,446.264414
"2013-01-29 06:47:15,723",LMPI Parallel Query Test Suite,xQuery Test by :cs_q604_para,1,WARMUP,Execute Query,ST-0.0-[Execute Query],122098,1000,0,8.190142345,0,122.098,122.0816796,16.69660358,76.145034,446.264414
"2013-01-29 06:49:14,342",LMPI Parallel Query Test Suite,xQuery Test by :cs_q604_para,1,RUN,Execute Query,Aggregated,117515,1000,0,8.509551972,0,117.515,117.4999667,0,108.957429,409.855617
"2013-01-29 06:49:14,342",LMPI Parallel Query Test Suite,xQuery Test by :cs_q604_para,1,RUN,Execute Query,ST-0.0-[Execute Query],117515,1000,0,8.509551972,0,117.515,117.4999667,12.06422391,108.957429,409.855617
"2013-01-30 03:22:50,169",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-30 03:22:50,174",LMPI Parallel Query Test Suite,xQuery Test by :cs_q404,1,WARMUP,Execute Query,Aggregated,162417,1000,0,6.156990955,0,162.417,162.4049214,0,138.564878,1094.993591
"2013-01-30 03:22:50,174",LMPI Parallel Query Test Suite,xQuery Test by :cs_q404,1,WARMUP,Execute Query,ST-0.0-[Execute Query],162417,1000,0,6.156990955,0,162.417,162.4049214,48.13049429,138.564878,1094.993591
"2013-01-30 03:25:18,179",LMPI Parallel Query Test Suite,xQuery Test by :cs_q404,1,RUN,Execute Query,Aggregated,147094,1000,0,6.798373829,0,147.094,147.0806171,0,137.548807,2008.042517
"2013-01-30 03:25:18,179",LMPI Parallel Query Test Suite,xQuery Test by :cs_q404,1,RUN,Execute Query,ST-0.0-[Execute Query],147094,1000,0,6.798373829,0,147.094,147.0806171,61.70464954,137.548807,2008.042517
,,,,,,,,,,,,,,,,
"2013-01-29 06:50:18,788",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
"2013-01-29 06:50:18,788",LMPI Parallel Query Test Suite,xQuery Test by :cs_q605_para,1,WARMUP,Execute Query,Aggregated,61201,1000,0,16.33960229,0,61.201,61.19183007,0,48.668444,309.676997
"2013-01-29 06:50:18,788",LMPI Parallel Query Test Suite,xQuery Test by :cs_q605_para,1,WARMUP,Execute Query,ST-0.0-[Execute Query],61201,1000,0,16.33960229,0,61.201,61.19183007,9.889086152,48.668444,309.676997
"2013-01-29 06:51:22,868",LMPI Parallel Query Test Suite,xQuery Test by :cs_q605_para,1,RUN,Execute Query,Aggregated,62971,1000,0,15.88032586,0,62.971,62.96193876,0,50.03726,148.179599
"2013-01-29 06:51:22,868",LMPI Parallel Query Test Suite,xQuery Test by :cs_q605_para,1,RUN,Execute Query,ST-0.0-[Execute Query],62971,1000,0,15.88032586,0,62.971,62.96193876,6.718192901,50.03726,148.179599
"2013-01-30 03:27:21,909",Suite,Test,# Threads,Phase,Action,Thread,Duration (ms),# Executions,# Deadlocks,Executions/s,Deadlocks/s,Avg Exec Time (ms),Avg Resp Time (ms),StdDev Resp Time (ms),Min Resp Time (ms),Max Resp Time (ms)
